vars,coefs1011,coefs1112,coefs1213,coefs1314,coefs1415,coefs1516,coefs1617
(Intercept),-4.7499506388022,-4.80653724896947,-4.00594915290181,-4.61940493651771,-5.31332125924459,-4.9415641006208,-5.40917267997132
mn_bldgs_1000,.,.,.,.,.,.,.
ct_residential_1000,0.0129423503736239,0.0126829874655,0.0120457303239837,0.0136642024053735,0.0138274528924887,0.0119579427765092,0.00563765381493068
ct_commercial_1000,0.00815638241266809,.,.,0.0213107405929247,0.000588759426354402,0.00774299194582941,0.0245639728898368
ct_industrial_1000,.,.,.,.,.,.,.
ct_landbank_1000,0.0440364160704083,0.0151361818355916,0.0295992041257581,0.0432358232125919,0.0341584156801168,0.0372722919753581,0.0574869291505762
med_age_1000,0.0160180177166028,0.0236420756828809,0.014799549378287,0.0146606697806219,0.0134574455884906,0.0178581040846927,0.00761931759223102
med_sqft_1000,.,.,.,.,.,.,.
med_prop_sqft_1000,.,.,.,.,.,.,.
prop_brick_1000,-1.26828553884755,-0.469706222925199,.,-0.526561283875324,-0.604178146355629,-1.12425331607315,.
mn_beds_1000,0.251924022961449,.,.,.,.,.,0.146855505899001
mn_rooms_1000,.,.,.,0.0727449775324327,0.0101912164233496,0.0393438659941322,0.0917599486993709
prop_aircond_1000,.,.,.,-1.81903273420972,-0.211952320504563,.,.
ct_vacant_1000,2.151545784329,2.34624413026654,3.01778019789002,1.4711060518882,1.38508281928364,.,2.56788416716949
ct_rent_1000,-0.52727277723945,.,.,-0.393307618601341,.,.,.
ct_taxd_1000,2.63062244292593,2.86947478229856,3.86891223397372,5.56182097022893,6.17319514802798,4.12084077653954,5.41833173242849
ct_mortfc_1000,.,8.34402728774706,10.012663151758,14.5776372296119,10.5268183844763,20.8818740200262,4.02153442438147
med_mktval,.,.,.,.,.,.,.
